"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",51.1955015635675,0.862441074704877,0.61295682573168,1.40701765360944,0.159422154062433,NA
"A2M",1614.30214410625,-0.219431413390721,0.354849256844304,-0.618379238953853,0.536325379859148,0.90566186830111
"A4GALT",474.365219327269,-1.1128028696231,0.683572238403991,-1.62792285453441,0.103541244672838,0.633224315133172
"AAAS",890.206022813149,-0.00835969368091853,0.185635716627418,-0.0450327869700686,0.964081175231608,0.9968630668462
"AACS",700.938582727139,-0.00783894188410577,0.385648949465148,-0.0203266257952407,0.983782815859417,0.998553736184464
"AADAT",41.2415892075351,2.28318748605998,1.12491796541728,2.02964798878739,0.0423923332383416,NA
"AAGAB",1258.23745830526,-0.272580474041989,0.195628363682578,-1.39335865674505,0.16351136118856,0.707614445129632
"AAK1",404.88522120845,0.782731905753427,0.393724997472634,1.98801679034319,0.0468098330442185,0.522364237005549
"AAMDC",184.529004076882,-0.0513536436928209,0.353404999275791,-0.145311027852058,0.884465308173061,0.987128144263818
"AAMP",835.496342942289,0.0166042005234937,0.178017852779225,0.0932726704893246,0.925686943204221,0.991475724478163
"AAR2",297.274531254895,0.307396953124145,0.270041259422703,1.13833328203735,0.254981341574459,0.792351009914201
"AARS1",940.047772773603,0.129689751023765,0.404807034997699,0.320374251955632,0.748684641716384,0.95779137056029
"AARS2",382.387398355194,-0.159658711319573,0.447309018989353,-0.356931572004304,0.721143033332201,0.951615196965461
"AARSD1",589.468808265762,-0.0973456410233504,0.205483510804891,-0.473739428735873,0.635685732859182,0.930381537261083
"AASDH",331.844258326593,0.0685389815533589,0.325828192138124,0.210353134587888,0.833392067450961,0.978691095469487
"AASDHPPT",1506.92057963315,-0.276120792598687,0.288668324086578,-0.956533050421813,0.338802994849447,0.836118672935238
"AASS",68.2761286619454,0.166145532496567,0.540962176194274,0.30712966600626,0.758744678018348,0.961027289489688
"AATF",3477.3221988999,0.35112409293196,0.221192082120964,1.5874170972356,0.112418209551712,0.644436749846506
"AATK",41.2833306901718,1.04657875367352,0.753943518959795,1.38813946582824,0.165094580994054,NA
"ABAT",342.523257631265,-0.607699311025213,0.47770799727039,-1.27211458568328,0.203332409559365,0.74863353633816
"ABCA1",994.293194725902,0.262759075537454,0.242067998984843,1.08547629855819,0.27771075557955,0.806064683183317
"ABCA10",87.7724419397793,-0.0883814461757098,0.761823576083784,-0.116013010033165,0.907642230904947,0.988659564676496
"ABCA2",467.56897419309,0.899741861716912,0.554456088288301,1.62274683373857,0.104643535271539,0.635405270702517
"ABCA3",64.4989626068997,-0.0854598381895302,0.714948237612619,-0.119532902794335,0.904853174235871,0.98839861991707
"ABCA5",350.028333501174,-0.509457063668143,0.414200815855806,-1.22997600237827,0.218706091393489,0.763381211485098
"ABCA6",1325.79195031898,-0.509703449870469,0.649312968276549,-0.784988864804839,0.432460097318021,0.877287931714764
"ABCA7",630.831285673616,0.138482093292583,0.328926507646757,0.421012262840497,0.673746127335324,0.939372409665276
"ABCA8",27.6698100745839,-1.17251825454884,0.987291870340428,-1.18761056357584,0.234986874091537,NA
"ABCA9",82.450292317533,0.922139561155549,0.813885434229316,1.13300904816996,0.257210453616039,0.792712396524629
"ABCB1",143.194034369975,-0.394862264029048,0.847132756941148,-0.466116155695394,0.64113235979415,0.930453375203356
"ABCB10",101.682544688865,0.181524798306009,0.338060385143541,0.536959686148771,0.591295461188575,0.922915077613316
"ABCB4",177.904618759794,-0.00759867916616344,0.504584685338713,-0.015059274264463,0.987984891703736,0.998553736184464
"ABCB6",118.534886962483,-0.186056235658708,0.603036085326409,-0.308532507732105,0.757677168302441,0.961027289489688
