"","cell_type","4-B00-15661-B","4-B04-23636-B","4-B05-15288-B","4-B06-00420","4-B16-11432","4-B20-21840-A2","4-B19-09868-A4","12-B17-28608-A1","3-B10-97","3-B10-33571","3-B10-35826","3-B11-25341","3-B12-476","3-B12-3343","3-B12-28752","3-B14-20920","3-B16-37292","3-B16-38017","3-B16-39751","3-B17-27564","3-B19-11332","3-B20-12105","3-B21-216","3-B21-30542","3-B21-18652","3-B21-21696","14-B03-22923-B","14-B13-29662-2","14-B16-31114-1","14-B17-34271-A1","14-B19-32346-A1","14-B20-18238-A1","14-B23-14912-A3","3-B11-24752-N","3-B15-23222-N","3-B16-38017-N","5-B16-38017-N","18-B23-21844","18-B22-30256-A1N","18-B23-21893-N","18-B22-27552","18-B23-18600","5-B21-30945-A1","5-B19-33807-A5","18-B23-21875","18-B15-16660","18-E23-575","18-B23-15669-A1","14-B18-16129-A1","14-B20-22458-A1","14-B17-02714-10"
"1","B cell",0.409298871708088,0.402188598435215,0.270450011798248,0.249152275932084,0.618008561402183,0.365935506803679,0.446218467701866,0.577593719357867,0.253074150896513,0.677162532297083,0.520545425750382,0.632397356793043,0.430706930676183,0.484027732703023,0.19883999247249,0.388261240818921,0.393899715899153,0.31714420786663,0.591780525113306,0.372327431592878,0.506538553149771,0.469931030820267,0.904393714131635,0.147019887554494,0.4958725931431,0.309117727700561,0.359605995336766,0.205364806791308,0.994410154819651,0.766246359350696,0.586230153781158,0.44870730634839,0.235729143186003,0.220297904950753,0.00896092026592119,0.0588523667242957,0.035281402994299,0.583897114468103,0.0128521537590142,0.00768313408977346,0.525517193536356,0.338297866417248,0.949690101101262,0.91822919777931,0.319951279881964,0.566023813669814,0.498917654016538,0.410358104163464,0.354683223862934,0.95619296969996,0.981410565443058
"2","Cancer associated fibroblast",0.00223837219589418,0.00819380308015689,0.0123563737066946,0.0132142095887937,0.003976258625956,0.000632911776998049,0.00118738063851621,0.00418451282451056,0.000624405841729686,0.00184983535447045,0.0246676708379196,0.00957408701786464,0.000848534034609746,0.00182011025117605,0.0107708842829291,0.00203567253134696,0.00100787514569233,0.00287550271734776,0.00756553368289569,0.0352427264857553,0.0099304605176714,0.00613029512675546,0.00552435947683791,0.00224750944757913,0.000990596719859991,0.000749624713261313,0.00704673743426762,0.00153857922400736,0.000530089480430639,0.00167846924514897,0.0229761064017619,0.00310117315772892,0.000130275295689461,0.000373711359753639,0.00114189809076393,0.0013529736701221,0.00109447711563058,0.00726570617333552,0.0018235577393341,0.000542317388456515,0.00074681005935928,0.000483042829891552,0.0406074488056356,0.00564072071349226,0.00102271201456212,0.00183698828900874,0.0043017771478471,0.0163073110621176,0.0417211272467967,1.56790571495345e-07,0.000455919784447883
"3","T cell CD4+",6.22548417836657e-07,4.33377778854187e-08,0.0134016194709131,0.0510540041861776,3.52631158916375e-07,2.10472916448938e-07,2.80773674333859e-09,1.36639834419892e-07,8.29232414039694e-09,9.22059463489881e-08,1.18250930764096e-06,2.74947785234597e-08,0.0363647592898685,1.5855522901381e-07,0.0157203696231453,3.80835595243046e-06,0.0297889880158818,0.0146988499071791,4.96792129986378e-08,0.0277931033328659,0.0519608247935734,9.65356877254286e-09,4.42950765208585e-07,5.21486951546354e-07,7.09609035878069e-08,0.0138464242743006,1.37727729609901e-07,0.0851479276223825,1.2404030325613e-07,0.0223605972214072,1.44794161293174e-08,0.00860010295373552,2.02684437456739e-08,0.0166833760146949,0.106170711792532,0.137503371825136,0.0861067788394059,2.00856075454436e-08,0.0799347955615755,0.0193098086929192,3.83480100145604e-06,3.72337445856442e-08,4.58276000373093e-09,7.66220854149499e-07,3.81838909851293e-10,9.24444214041701e-06,4.3877457478466e-08,0.0342167477251025,0.0112661727117032,2.22803694668065e-09,9.74964862352366e-07
"4","T cell CD8+",1.08233081934949e-06,6.04715228326899e-09,2.63492270540933e-07,3.68068955039e-07,7.65740825612756e-08,1.07565932771962e-08,1.15009009837466e-07,6.52848070766402e-06,6.29683336853891e-07,1.58717197846315e-07,4.09842513290583e-08,5.97977350717396e-08,2.82217245705882e-09,2.5689554709279e-05,3.13892421105098e-08,1.08143481631832e-06,2.32465590417171e-07,1.02014868034233e-05,9.22610410906023e-08,3.006325938631e-08,1.4048028103181e-07,7.33272723994762e-08,1.76308595304526e-07,3.30120031092191e-06,6.31256222697601e-07,6.810086006569e-08,4.9396240358586e-08,7.50208294636713e-08,4.12237566995926e-07,3.7877325674049e-07,7.05640333682789e-08,0.00751427454893165,3.88381001323121e-07,2.02573552192185e-07,0.00878287128214972,0.00645966593610549,1.20808580150581e-07,4.58115691235492e-08,0.00524603219269313,5.44659473655314e-08,7.75264966887726e-08,2.50041177106488e-08,2.18773618331861e-07,4.60761782684118e-08,4.20894889481138e-07,7.59997153709947e-06,5.28220086662591e-08,1.07467541672908e-07,7.6629570008965e-07,9.38044358070368e-10,5.53771123664736e-06
"5","Endothelial cell",0.000237152039559701,0.00541048723571976,0.01043295460717,5.17536043504661e-07,7.12217461226461e-07,0.0093111437822579,0.0145808949474192,0.0125258913990277,6.80492910510821e-08,0.00375646325141819,0.00329404568017581,0.00725927434859071,0.0070106815163934,0.0254890720733909,0.0294904333284202,0.0103047325101765,0.00638584403318818,0.0124140950063195,5.51390672562551e-06,0.00707140668126618,0.0198490726716779,0.00545479779836693,2.29396224616398e-06,2.82031895867253e-07,5.51852096053554e-07,0.0202101805008946,0.0022373787766176,0.00612334202737165,2.84055588958663e-09,0.00333295717797827,0.00262705931333798,0.00509847809799496,0.000170747312289759,0.0825281065957967,0.0616792733388357,0.0603185231772546,0.0919183791550316,1.59800649531172e-06,0.071048910065573,0.0196468295989108,0.0036732251641544,0.012594868857681,7.61464078405994e-08,0.0015586457150731,0.00469930532521129,0.0127849187731298,0.000730791793113801,0.00318797792200674,0.0105305760578786,1.45505027971679e-08,0.0149527965064469
"6","Macrophage",0.112522336038736,0.0162383701167143,0.0356223165262538,0.0481332688219785,0.0318124299937316,0.0745282620402938,0.122456883578668,0.012750719700418,0.0391292081670542,0.111657677383296,0.0155630628830725,0.0987378659055976,0.0182596988180821,0.0402505262085235,0.172356809006867,0.0263399347076959,0.179097268554202,0.083868599675058,0.00932204696181267,0.0410925415323374,0.0260589781395674,0.0476083453249793,0.0118612463638696,0.0435136217457631,0.024851311800948,0.0483531971163594,0.0029581825342731,0.0435185478938565,0.0050592039466149,0.0213914595933714,0.010736334872471,0.00935524844854431,0.0735513840585701,0.0950469373770333,0.037456292127512,0.0747047129837238,0.0865695212032224,0.050764615475314,0.0371991947969956,0.111828154700313,0.0199204010207619,0.0168039618156541,0.00970207383952256,0.0211653077500655,0.036208582309,0.0250573123750475,0.0061783147193798,0.0279199824881186,0.0123825692356411,0.0425071607110713,7.93151010301943e-05
"7","NK cell",0.0138633033748781,0.000740680014763678,0.00530396107655485,0.00159907069903432,0.000749334605160449,0.000528336396023971,0.000235410538851483,0.000793668540067669,0.000163106134103213,0.0053991619337148,0.000313299713898929,0.00854842248030409,0.000116885803459693,0.00154651436288374,0.000945924634500673,0.000676722890850726,0.00056207572405652,0.012696527904218,3.67163852024813e-05,0.00228390521749008,2.23299031579676e-08,0.000183219034647427,0.000350445055356764,0.00704885056855872,2.39889516790319e-06,0.000413973686364883,1.51204328471668e-05,0.00789161414439618,3.71068666729149e-09,0.00203812124486372,0.000151263739784177,1.0482421620676e-08,0.000427574475274731,0.00383307521053966,2.2632985879649e-10,0.00385435429739296,0.0132835747025678,2.14141423880339e-05,6.25382472012738e-09,0.000911263393075838,0.00033815017051078,4.82456177904327e-05,6.73660565268398e-08,0.000373812848605718,0.000590492632401043,0.000796559851611457,4.37649088052793e-05,0.000494162366766286,0.00276360868801182,0.00129969467721064,0.003094460893954
"8","uncharacterized cell",0.461838259763608,0.5672280117325,0.652432499321895,0.636846285166933,0.345452273950266,0.549063617971237,0.415320844777933,0.392144823057567,0.707008422935648,0.200174078856873,0.435615271640992,0.243482906162087,0.506692507039231,0.446840196291065,0.571875555262406,0.57237680675024,0.389258000162235,0.556292015436444,0.391289522009803,0.514188855094147,0.385661947917554,0.470692228914142,0.0778673217506936,0.800166025964447,0.478281845371702,0.607308803907398,0.628136398361258,0.650415107275848,8.92419110435699e-09,0.182951657393278,0.377278996848038,0.517623405962253,0.689990467022728,0.581236685917877,0.775808032875955,0.656954031385969,0.685745745181263,0.358049485837188,0.79189534963099,0.840078437670604,0.449800307721359,0.631771952223873,9.38473685768341e-09,0.053031502896421,0.637527206560133,0.393483562627711,0.48982760071485,0.507515606804882,0.566651955901335,4.04602659990364e-10,4.29594964378525e-07
